INFO: text_id: D3975   uid: 6a51ca33a37d4714be0093ae3c2d837c
INFO: text_id: D3977   uid: 0d70a421519b496494889485c8971bcd
INFO: text_id: D3981   uid: 56c298448b0c4a2ca31d8d47feb3201d
INFO: text_id: D3983   uid: 3138348e939b49f4aa7fbf4d94d1daee
INFO: text_id: D3984   uid: 94b3456881614b668279cdf7a723fe02
INFO: text_id: D3985   uid: 2c827170bc634fe9b5d43721b07e23c4
INFO: text_id: D3986   uid: 98725e966c764d5cad08b2c226f335ff
INFO: text_id: D3987   uid: 2708a06f13ac49dcb79bdf388b7a06c5
INFO: text_id: D3988   uid: e17e0158963049b2a980d649c2efb1fd
INFO: text_id: D3989   uid: 66063fd3c96c4c3ca31566ba36d17381
INFO: text_id: D3990   uid: 6d3072848eae4009a584e051c1bf4225
INFO: text_id: D3993   uid: e4a32f64f0fb4ea6b2d5a806c1eb73cd
INFO: text_id: D3994   uid: 91c8e563f4ee4cbc9c5c6957756bf259
INFO: text_id: D3995   uid: ad8fd47f28d3462d9e4094aef2fc8ba7
INFO: text_id: D4000   uid: 4afb6f7f8e924840bded4ea686e225ae
INFO: text_id: D4001   uid: 42905f3539cd41a4922afdd6bbb426d8
INFO: text_id: D4004   uid: 915fa6df059347799b1fc1555cba8889
INFO: text_id: D4005   uid: 4cbea5f06fb443be8993ecf625d4345d
INFO: text_id: D4007   uid: 843bbd1560be4c47859e2ed77a8a2a68
INFO: text_id: D4011   uid: 788e2f67beaa428d8dcc107978f03b6e
INFO: text_id: D4015   uid: cb92349eb26f4afe992e5517ce85f1ac
INFO: text_id: D4016   uid: 30ad4b1a4f9f43bfb087a697552ac5ba
INFO: text_id: D4025   uid: 0ed093de93f440009f897bfc403c8fd1
INFO: text_id: D4026   uid: e5cabaea4d6940dbb9deaf1dedc060c2
INFO: text_id: D4027   uid: f542b76de3294874bb56d250629ba654
INFO: text_id: D4028   uid: 378d1e0b599c41c6ad8036360f3335b7
INFO: text_id: D4036   uid: 8fa6b88044714ea685b92d825851acae
INFO: text_id: D4037   uid: 1ecda140c2524f50b0de82c3842f0c88
INFO: text_id: D4038   uid: 36f6838e343d43aa8d0a6ae5f78fb4c6
INFO: text_id: D4044   uid: 0dcc46eb45a642809a4c832d33c6808b
INFO: text_id: D4048   uid: e94f72cde69b4e29a177048830fe11bb
